name,metadata_uuid,component_name,component_uuid
Bonaire2008,1d1946b0-2dc1-11e2-81c1-0800200c9a66,Fetch1 AUV MI_Platform eb1e3eb0-2e77-11e2-81c1-0800200c9a66,eb1e3eb0-2e77-11e2-81c1-0800200c9a66
LostFrenchFleet2014,8697d193-58cf-4274-998f-7586ae26c602,Roper MI_Platform 36cf5b50-0b6c-11e4-9191-0800200c9a66,36cf5b50-0b6c-11e4-9191-0800200c9a66
SubmergedNewWorld2012,916df990-e63e-11e1-aff1-0800200c9a66,Weatherbird II MI_Platform 06608a40-b64e-11e1-afa6-0800200c9a66,06608a40-b64e-11e1-afa6-0800200c9a66
SubmergedNewWorld2011,6f71cae0-e631-11e1-aff1-0800200c9a66,Weatherbird II MI_Platform 06608a40-b64e-11e1-afa6-0800200c9a66,06608a40-b64e-11e1-afa6-0800200c9a66
SubmergedNewWorld2009,01275aa0-b62f-11e1-afa6-0800200c9a66,Weatherbird II MI_Platform 06608a40-b64e-11e1-afa6-0800200c9a66,06608a40-b64e-11e1-afa6-0800200c9a66
gov.noaa.ncei.oer:EX2306_COLLECTION,b7401834-7510-4150-94f5-b0ccbfba8498,Global Change Master Directory (GCMD) Platform Keywords CI_Citation 82A5DD195659CBECE040AC8C5AB41A40,82A5DD195659CBECE040AC8C5AB41A40
gov.noaa.ncei.oer:EX2301_COLLECTION,4c23aa2f-6cf1-4eb2-abb0-78617b485607,Global Change Master Directory (GCMD) Platform Keywords CI_Citation 82A5DD195659CBECE040AC8C5AB41A40,82A5DD195659CBECE040AC8C5AB41A40
gov.noaa.ncei.oer:EX2307_COLLECTION,2e0b88ca-ae91-439f-82e2-41c4e489c9b5,Global Change Master Directory (GCMD) Platform Keywords CI_Citation 82A5DD195659CBECE040AC8C5AB41A40,82A5DD195659CBECE040AC8C5AB41A40
gov.noaa.ncei.oer:EX2303_COLLECTION,3c619bc1-037a-489d-b2e6-11ba6eb7ac0a,Global Change Master Directory (GCMD) Platform Keywords CI_Citation 82A5DD195659CBECE040AC8C5AB41A40,82A5DD195659CBECE040AC8C5AB41A40
gov.noaa.ncei.oer:EX2305_COLLECTION,cfa323ee-1eff-4b17-a65d-d90c1179d3a5,Global Change Master Directory (GCMD) Platform Keywords CI_Citation 82A5DD195659CBECE040AC8C5AB41A40,82A5DD195659CBECE040AC8C5AB41A40
gov.noaa.ncei:EX2104_Sound_Velocity_Profile_COLLECTION,24af7256-b49c-4bf2-8bdc-0c5189f65513,Global Change Master Directory (GCMD) Platform Keywords CI_Citation 82A5DD195659CBECE040AC8C5AB41A40,82A5DD195659CBECE040AC8C5AB41A40
