map_id,source_system,source_file,source_tab,source_field,source_xpath,record_type,normalized_field_key,transform,default_value,datatype_hint,confidence,notes,active
map_bedi_filename_to_fileidentifier,db_export,bedi_videos_export.csv,,FILENAME,,granule,ident.fileIdentifier,prefix_gov_noaa_ncei_oer,,string,1,,true
map_onestop_collection_title,excel,OneStop Regeneration - Bulk Metadata Records - EX (1).xlsx,Rules,title,//gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title,collection,citation.title,trim,,string,1,,true
map_mission_mission_abstract,matrix,mission_validation_full_field_matrix.csv,,mission.abstract,,mission,mission.abstract,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_accession,matrix,mission_validation_full_field_matrix.csv,,mission.accession,,mission,mission.accession,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_bbox,matrix,mission_validation_full_field_matrix.csv,,mission.bbox,,mission,mission.bbox,identity,,decimal,0.9,auto-generated from mission matrix field list,true
map_mission_mission_contacturl,matrix,mission_validation_full_field_matrix.csv,,mission.contactUrl,,mission,mission.contactUrl,identity,,url,0.9,auto-generated from mission matrix field list,true
map_mission_mission_doi,matrix,mission_validation_full_field_matrix.csv,,mission.doi,,mission,mission.doi,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_email,matrix,mission_validation_full_field_matrix.csv,,mission.email,,mission,mission.email,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_enddate,matrix,mission_validation_full_field_matrix.csv,,mission.endDate,,mission,mission.endDate,identity,,date,0.9,auto-generated from mission matrix field list,true
map_mission_mission_fileid,matrix,mission_validation_full_field_matrix.csv,,mission.fileId,,mission,mission.fileId,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_individualname,matrix,mission_validation_full_field_matrix.csv,,mission.individualName,,mission,mission.individualName,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_language,matrix,mission_validation_full_field_matrix.csv,,mission.language,,mission,mission.language,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_licenseurl,matrix,mission_validation_full_field_matrix.csv,,mission.licenseUrl,,mission,mission.licenseUrl,identity,,url,0.9,auto-generated from mission matrix field list,true
map_mission_mission_metadatarecorddate,matrix,mission_validation_full_field_matrix.csv,,mission.metadataRecordDate,,mission,mission.metadataRecordDate,identity,,date,0.9,auto-generated from mission matrix field list,true
map_mission_mission_org,matrix,mission_validation_full_field_matrix.csv,,mission.org,,mission,mission.org,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_parentprojecttitle,matrix,mission_validation_full_field_matrix.csv,,mission.parentProjectTitle,,mission,mission.parentProjectTitle,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_publicationdate,matrix,mission_validation_full_field_matrix.csv,,mission.publicationDate,,mission,mission.publicationDate,identity,,date,0.9,auto-generated from mission matrix field list,true
map_mission_mission_purpose,matrix,mission_validation_full_field_matrix.csv,,mission.purpose,,mission,mission.purpose,identity,,string,0.9,auto-generated from mission matrix field list,true
map_mission_mission_relateddataurl,matrix,mission_validation_full_field_matrix.csv,,mission.relatedDataUrl,,mission,mission.relatedDataUrl,identity,,url,0.9,auto-generated from mission matrix field list,true
